Results for maximal NE \\ 
|V| =20 

 & ins & time & iter & pNE & mNE & size S & numb_back & time & iter & pNE & mNE & size S \\ 
 20 & 0.02 & 0.89 & 0.23 & 0.22 & 0.01 & 1.84 & 1.53 & 1.31 &  0.00 & 49 & 1.0 & 0.89 & 0.23 & 0.22 & 0.01 & 1.84 & 1.53 & 1.31 &  49 &  1.0 \\ 
|V| =40 

 & ins & time & iter & pNE & mNE & size S & numb_back & time & iter & pNE & mNE & size S \\ 
&1 & 0.01 & 1 & 1 & 0 &[1, 1] & 0 & & 0.01 & 1 & 1 & 0 &[1, 1]& 
 &2 & 0.01 & 2 & 1 & 0 &[1, 2] & 0 & & 0.01 & 2 & 1 & 0 &[1, 2]& 
 &3 & 0.06 & 4 & 1 & 0 &[3, 2] & 0 & & 0.06 & 4 & 1 & 0 &[3, 2]& 
 &4 & 0.08 & 3 & 1 & 0 &[2, 2] & 0 & & 0.08 & 3 & 1 & 0 &[2, 2]& 
 &5 & 0.11 & 4 & 1 & 0 &[3, 2] & 0 & & 0.10 & 4 & 1 & 0 &[3, 2]& 
 &6 & 0.01 & 3 & 1 & 0 &[2, 2] & 0 & & 0.01 & 3 & 1 & 0 &[2, 2]& 
 &7 & 0.03 & 3 & 1 & 0 &[2, 2] & 0 & & 0.03 & 3 & 1 & 0 &[2, 2]& 
 &8 & 0.08 & 3 & 1 & 0 &[2, 2] & 0 & & 0.08 & 3 & 1 & 0 &[2, 2]& 
 &9 & 0.01 & 2 & 1 & 0 &[1, 2] & 0 & & 0.01 & 2 & 1 & 0 &[1, 2]& 
 &10 & 0.02 & 3 & 1 & 0 &[2, 2] & 0 & & 0.02 & 3 & 1 & 0 &[2, 2]& 
 &11 & 0.06 & 4 & 1 & 0 &[3, 2] & 0 & & 0.06 & 4 & 1 & 0 &[3, 2]& 
 &12 & 0.05 & 3 & 1 & 0 &[2, 2] & 0 & & 0.05 & 3 & 1 & 0 &[2, 2]& 
 &13 & 0.03 & 4 & 1 & 0 &[3, 2] & 0 & & 0.03 & 4 & 1 & 0 &[3, 2]& 
 &14 & 0.10 & 5 & 1 & 0 &[3, 3] & 0 & & 0.09 & 5 & 1 & 0 &[3, 3]& 
 &15 & 0.04 & 2 & 1 & 0 &[1, 2] & 0 & & 0.04 & 2 & 1 & 0 &[1, 2]& 
 &16 & 0.09 & 3 & 1 & 0 &[2, 2] & 0 & & 0.09 & 3 & 1 & 0 &[2, 2]& 
 &17 & 0.07 & 3 & 1 & 0 &[2, 2] & 0 & & 0.07 & 3 & 1 & 0 &[2, 2]& 
 &18 & 0.04 & 5 & 1 & 0 &[3, 3] & 0 & & 0.04 & 5 & 1 & 0 &[3, 3]& 
 &19 & 0.10 & 4 & 1 & 0 &[3, 2] & 0 & & 0.09 & 4 & 1 & 0 &[3, 2]& 
 &20 & 0.01 & 3 & 1 & 0 &[2, 2] & 0 & & 0.01 & 3 & 1 & 0 &[2, 2]& 
 &21 & 0.09 & 4 & 1 & 0 &[3, 2] & 0 & & 0.09 & 4 & 1 & 0 &[3, 2]& 
 &22 & 0.01 & 2 & 1 & 0 &[2, 1] & 0 & & 0.01 & 2 & 1 & 0 &[2, 1]& 
 &23 & 0.05 & 2 & 1 & 0 &[2, 1] & 0 & & 0.05 & 2 & 1 & 0 &[2, 1]& 
